filename,label
frame12015.png,g
frame11767.png,g
frame14381.png,a
frame14631.png,a
frame13056.png,a
frame13441.png,aub
frame11585.png,a
frame14350.png,g
frame13378.png,s
frame14246.png,a
frame13805.png,a
frame14331.png,a
frame14143.png,a
frame13399.png,a
frame11492.png,g
frame13188.png,g
frame14079.png,a
frame12982.png,a
frame13215.png,adb
frame11841.png,g
frame14604.png,a
frame13326.png,g
frame14762.png,g
frame14609.png,adb
frame14658.png,adb
frame14641.png,a
frame13774.png,g
frame13086.png,a
frame14235.png,a
frame13267.png,a
frame14680.png,g
frame11943.png,g
frame11444.png,g
frame11521.png,g
frame13138.png,g
frame14355.png,g
frame11721.png,a
frame13366.png,a
frame13553.png,g
frame11630.png,g
frame13919.png,a
frame13720.png,a
frame13924.png,a
frame14332.png,a
frame14548.png,a
frame13009.png,a
frame14234.png,a
frame14163.png,s
frame13512.png,g
frame11902.png,g
frame13144.png,a
frame13401.png,a
frame13162.png,a
frame11637.png,a
frame11887.png,g
frame13866.png,a
frame14451.png,a
frame14352.png,g
frame14466.png,a
frame11886.png,g
frame11804.png,s
frame13579.png,a
frame11781.png,gdb
frame14554.png,a
frame13475.png,aub
frame13016.png,a
frame13532.png,g
frame11549.png,g
frame13210.png,a
frame11614.png,a
frame13459.png,a
frame11671.png,g
frame13817.png,g
frame14304.png,g
frame11766.png,g
frame13686.png,a
frame11486.png,g
frame13098.png,a
frame13614.png,a
frame13873.png,a
frame13907.png,a
frame14167.png,g
frame14555.png,a
frame11727.png,g
frame13273.png,a
frame14321.png,g
frame11525.png,g
frame12987.png,a
frame13679.png,g
frame14198.png,g
frame13023.png,g
frame13465.png,aub
frame14497.png,a
frame13975.png,g
frame11623.png,a
frame11889.png,g
frame11808.png,g
frame11655.png,g
frame13923.png,a
frame11557.png,a
frame13967.png,g
frame13282.png,a
frame13842.png,g
frame14039.png,a
frame14142.png,l
frame13827.png,g
frame11778.png,g
frame13494.png,aub
frame13987.png,g
frame13696.png,a
frame14188.png,g
frame13560.png,g
frame11541.png,g
frame13083.png,a
frame13042.png,s
frame13295.png,s
frame14378.png,a
frame14660.png,a
frame13438.png,aub
frame13951.png,g
frame12951.png,g
frame14265.png,a
frame13660.png,g
frame11621.png,a
frame14242.png,a
frame13239.png,a
frame13264.png,a
frame14405.png,g
frame13418.png,a
frame13199.png,g
frame14535.png,a
frame14783.png,g
frame14338.png,g
frame14462.png,a
frame13136.png,g
frame13721.png,a
frame11798.png,g
frame11814.png,g
frame14075.png,a
frame13712.png,g
frame14476.png,a
frame14241.png,a
frame14412.png,g
frame11708.png,a
frame13549.png,a
frame13666.png,g
frame11590.png,a
frame12002.png,g
frame13033.png,g
frame11954.png,g
frame14202.png,g
frame11904.png,g
frame13570.png,g
frame11700.png,g
frame13825.png,g
frame13499.png,a
frame13792.png,a
frame13928.png,a
frame13871.png,a
frame11977.png,g
frame13060.png,a
frame13353.png,a
frame11665.png,g
frame13323.png,a
frame14733.png,gdb
frame14495.png,a
frame11499.png,g
frame13495.png,aub
frame14140.png,l
frame13309.png,g
frame14417.png,a
frame11792.png,g
frame14255.png,a
frame11497.png,g
frame14036.png,a
frame13707.png,g
frame13785.png,a
frame14441.png,a
frame11439.png,g
frame13657.png,g
frame11842.png,g
frame14469.png,a
frame13089.png,l
frame11620.png,a
frame13771.png,g
frame13344.png,l
frame14779.png,g
frame13735.png,g
frame14435.png,a
frame13168.png,g
frame14286.png,g
frame11843.png,g
frame11697.png,g
frame14529.png,a
frame14785.png,g
frame13585.png,g
frame14299.png,g
frame14510.png,a
frame13061.png,a
frame14506.png,a
frame14724.png,a
frame14468.png,a
frame13369.png,g
frame11554.png,g
frame13027.png,g
frame11970.png,g
frame14765.png,g
frame11504.png,g
frame14098.png,aub
frame13163.png,a
frame14209.png,g
frame13859.png,a
frame13198.png,g
frame14015.png,g
frame14351.png,g
frame13398.png,a
frame14210.png,g
frame13592.png,g
frame13642.png,a
frame11893.png,g
frame13223.png,aub
frame13483.png,aub
frame14511.png,a
frame14527.png,a
frame14324.png,a
frame11851.png,g
frame14422.png,a
frame11799.png,g
frame13643.png,a
frame14521.png,a
frame11698.png,g
frame14507.png,a
frame14169.png,s
frame13029.png,g
frame14707.png,g
frame14300.png,g
frame11979.png,g
frame13161.png,a
frame13601.png,g
frame14147.png,a
frame11555.png,g
frame11720.png,a
frame13022.png,g
frame14287.png,g
frame13980.png,a
frame13698.png,a
frame14623.png,a
frame13173.png,g
frame11895.png,g
frame14518.png,a
frame13852.png,a
frame14152.png,a
frame11953.png,g
frame14599.png,a
frame13021.png,a
frame13727.png,a
frame14386.png,g
frame13348.png,l
frame14081.png,a
frame13233.png,a
frame14126.png,aub
frame14477.png,a
frame11883.png,g
frame14310.png,g
frame13508.png,g
frame11597.png,g
frame13018.png,a
frame11935.png,g
frame14292.png,g
frame11877.png,g
frame11514.png,a
frame14211.png,g
frame12012.png,g
frame11657.png,g
frame11946.png,g
frame14530.png,a
frame13580.png,a
frame13730.png,a
frame14218.png,g
frame11868.png,g
frame13008.png,a
frame13760.png,g
frame12021.png,g
frame11991.png,g
frame13007.png,a
frame13269.png,a
frame13381.png,g
frame13171.png,g
frame11643.png,a
frame13334.png,g
frame13571.png,g
frame13796.png,a
frame13561.png,g
frame13485.png,aub
frame14197.png,g
frame13877.png,a
frame13599.png,g
frame11435.png,g
frame11564.png,a
frame11494.png,g
frame13352.png,l
frame13327.png,g
frame13120.png,a
frame14224.png,g
frame14322.png,g
frame14238.png,a
frame13849.png,g
frame11818.png,g
frame13500.png,a
frame14669.png,aub
frame13047.png,g
frame13216.png,a
frame14708.png,g
frame14252.png,a
frame13927.png,a
frame11909.png,g
frame14200.png,g
frame11992.png,g
frame11915.png,g
frame13572.png,g
frame13894.png,a
frame14743.png,a
frame11924.png,g
frame13865.png,a
frame13575.png,g
frame13671.png,g
frame13688.png,a
frame13132.png,a
frame13006.png,a
frame11618.png,a
frame11467.png,g
frame13002.png,a
frame11461.png,g
frame11811.png,g
frame11710.png,a
frame13093.png,l
frame11669.png,g
frame12998.png,a
frame13902.png,a
frame11551.png,g
frame13325.png,g
frame13970.png,gdb
frame14307.png,g
frame13365.png,a
frame14543.png,a
frame13189.png,g
frame14291.png,g
frame14041.png,a
frame11583.png,a
frame13110.png,a
frame11888.png,g
frame13263.png,a
frame13900.png,a
frame13685.png,a
frame13066.png,g
frame13092.png,l
frame13409.png,a
frame12009.png,g
frame13754.png,g
frame11947.png,g
frame13356.png,a
frame13115.png,a
frame13496.png,aub
frame11816.png,g
frame14101.png,aub
frame13097.png,l
frame11820.png,g
frame13802.png,a
frame11730.png,g
frame11823.png,g
frame14384.png,g
frame14460.png,a
frame14705.png,g
frame14437.png,a
frame13578.png,a
frame14447.png,a
frame14137.png,l
frame13468.png,aub
frame11672.png,g
frame13284.png,a
frame13466.png,aub
frame11812.png,g
frame14309.png,g
frame14711.png,g
frame13314.png,a
frame13761.png,g
frame11813.png,g
frame13929.png,a
frame13036.png,g
frame14442.png,a
frame13217.png,aub
frame11659.png,g
frame11716.png,a
frame13426.png,a
frame11746.png,g
frame13130.png,a
frame14512.png,a
frame13481.png,aub
frame13869.png,a
frame13577.png,g
